,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount
2019-01-03-05,1000.3,-999,15.8,-999,99,0.3,307,-999,-999,2.0,-999,-999,-999,-999,-999,-999
2019-01-03-06,1000.5,-999,15.7,-999,100,0.0,0,-999,-999,1.0,-999,-999,-999,-999,-999,-999
2019-01-03-07,1001.0,-999,15.8,-999,100,0.2,0,-999,-999,1.0,-999,-999,-999,-999,-999,-999
2019-01-03-08,1002.0,-999,15.9,-999,100,0.1,0,-999,-999,1.0,-999,-999,-999,-999,-999,-999
2019-01-03-09,1002.5,-999,16.2,-999,99,0.3,239,-999,-999,0.5,-999,-999,-999,-999,-999,-999
2019-01-03-10,1002.4,-999,16.4,-999,99,0.2,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2019-01-03-11,1001.7,-999,17.3,-999,98,0.3,275,-999,-999,0.5,-999,-999,-999,-999,-999,-999
2019-01-03-12,1001.2,-999,17.2,-999,98,0.2,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2019-01-03-13,1000.1,-999,17.6,-999,96,0.1,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2019-01-03-14,999.7,-999,17.1,-999,97,0.4,179,-999,-999,0.5,-999,-999,-999,-999,-999,-999
2019-01-03-15,999.9,-999,17.2,-999,97,0.0,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2019-01-03-16,1000.1,-999,17.1,-999,97,0.4,278,-999,-999,0.5,-999,-999,-999,-999,-999,-999
2019-01-03-17,1000.6,-999,16.9,-999,98,0.0,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2019-01-03-18,1000.6,-999,16.9,-999,98,0.1,0,-999,-999,0.5,-999,-999,-999,-999,-999,-999
2019-01-03-19,1001.1,-999,17.1,-999,98,0.2,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2019-01-03-20,1000.7,-999,17.3,-999,97,0.0,0,-999,-999,0.5,-999,-999,-999,-999,-999,-999
2019-01-03-21,1000.5,-999,17.5,-999,98,0.0,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2019-01-03-22,1000.1,-999,17.8,-999,97,0.0,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2019-01-03-23,999.4,-999,18.1,-999,96,0.6,78,-999,-999,0.5,-999,-999,-999,-999,-999,-999
2019-01-03-24,999.1,-999,18.5,-999,95,0.7,64,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2019-01-04-01,998.7,-999,18.8,-999,95,0.3,56,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2019-01-04-02,998.4,-999,18.8,-999,96,0.4,75,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2019-01-04-03,997.6,-999,18.9,-999,95,0.1,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2019-01-04-04,997.3,-999,19.1,-999,95,0.0,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2019-01-04-05,997.4,-999,19.3,-999,92,0.7,66,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2019-01-04-06,997.7,-999,19.2,-999,92,0.9,79,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2019-01-04-07,998.0,-999,19.3,-999,94,0.8,74,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2019-01-04-08,998.1,-999,20.0,-999,93,0.5,74,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2019-01-04-09,998.3,-999,21.6,-999,89,0.0,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2019-01-04-10,997.7,-999,23.0,-999,81,1.3,249,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2019-01-04-11,996.7,-999,24.0,-999,73,1.8,184,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2019-01-04-12,995.8,-999,24.7,-999,71,1.8,222,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2019-01-04-13,995.1,-999,24.7,-999,73,1.4,239,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2019-01-04-14,994.6,-999,24.4,-999,75,0.3,242,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2019-01-04-15,994.5,-999,22.9,-999,77,0.1,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2019-01-04-16,994.9,-999,21.7,-999,83,0.7,301,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2019-01-04-17,995.6,-999,20.8,-999,88,0.7,282,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2019-01-04-18,996.5,-999,19.3,-999,93,1.5,290,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2019-01-04-19,996.9,-999,18.5,-999,96,0.0,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2019-01-04-20,997.2,-999,18.1,-999,98,0.0,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2019-01-04-21,997.0,-999,17.9,-999,98,0.0,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2019-01-04-22,996.5,-999,18.0,-999,99,0.0,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2019-01-04-23,996.6,-999,17.7,-999,99,0.4,300,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2019-01-04-24,996.9,-999,17.5,-999,99,0.0,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
