,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount
2018-12-31-01,985.5,1023.8,18.4,18.0,98,5.6,20,21.3,40,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-02,984.6,1022.8,18.5,16.9,90,5.3,10,17.9,30,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-03,984.2,1022.4,18.8,17.0,89,5.1,10,17.6,40,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-04,984.4,1022.6,18.5,18.4,99,7.3,30,17.6,50,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-05,984.9,1023.2,18.4,17.6,95,4.9,10,19.3,40,0.0,0.0,-999,0.00,10.0,0,10.0
2018-12-31-06,985.9,1024.1,18.9,18.4,97,6.7,30,17.3,50,0.0,0.0,0.0,0.00,-999,0,-999
2018-12-31-07,986.3,1024.7,17.8,17.8,100,6.8,30,17.4,50,0.0,0.0,0.0,0.00,-999,0,-999
2018-12-31-08,986.6,1024.9,18.8,17.8,94,5.8,30,18.9,50,0.0,0.0,0.0,0.00,15.0,0,10.0
2018-12-31-09,987.0,1025.2,19.6,17.9,90,5.8,20,17.7,50,0.0,0.0,0.0,0.46,15.0,1,10.0
2018-12-31-10,987.0,1025.2,19.5,17.5,88,3.0,360,14.0,50,0.0,0.0,0.0,0.92,-999,2,-999
2018-12-31-11,986.1,1024.3,19.4,17.7,90,3.7,340,17.3,50,0.0,0.0,0.0,0.99,15.0,3,10.0
2018-12-31-12,985.2,1023.4,18.8,18.2,96,4.9,40,17.0,10,0.0,0.0,0.0,0.76,-999,3,-999
2018-12-31-13,984.7,1022.9,18.5,18.4,99,6.3,50,16.3,60,0.5,0.3,0.0,0.27,-999,1,-999
2018-12-31-14,984.1,1022.4,18.2,18.2,100,10.7,40,15.1,40,1.1,0.6,0.0,0.35,5.0,1,10.0
2018-12-31-15,984.4,1022.6,18.4,18.4,100,3.3,20,19.1,40,5.4,0.9,0.0,0.03,-999,0,-999
2018-12-31-16,985.0,1023.3,17.8,17.8,100,10.3,30,17.6,40,1.8,1.0,0.0,0.00,-999,0,-999
2018-12-31-17,985.9,1024.3,17.9,17.8,99,5.8,20,18.4,60,2.7,1.0,0.0,0.00,5.0,0,10.0
2018-12-31-18,986.2,1024.6,18.1,18.1,100,4.5,20,15.7,80,0.5,0.8,0.0,0.00,-999,0,-999
2018-12-31-19,985.9,1024.2,18.2,18.2,100,14.4,30,24.7,40,0.0,0.0,0.0,0.00,-999,0,-999
2018-12-31-20,986.2,1024.6,17.8,17.8,100,10.1,30,21.9,30,0.2,0.3,-999,0.00,5.0,0,10.0
2018-12-31-21,986.9,1025.3,17.9,17.9,100,7.1,40,22.0,50,0.8,0.1,-999,0.00,5.0,0,10.0
2018-12-31-22,986.5,1024.8,18.6,18.6,100,10.0,40,16.1,60,0.2,0.2,-999,0.00,-999,0,-999
2018-12-31-23,986.2,1024.5,18.7,18.7,100,8.7,20,20.8,50,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-24,985.8,1024.1,18.3,18.3,100,11.1,30,19.4,40,0.0,0.0,-999,0.00,-999,0,-999
