,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount
2018-12-31-01,645.9,3193.0,0.0,0.0,100,6.9,250,11.3,250,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-02,645.7,3186.2,0.2,0.2,100,3.9,250,10.9,250,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-03,645.7,3187.4,0.1,0.1,100,4.5,250,10.3,250,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-04,645.7,3192.5,0.4,0.4,100,4.2,250,11.8,250,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-05,645.7,3194.1,-0.3,-0.3,100,7.8,250,12.0,250,0.0,0.0,-999,0.00,20.0,0,8.0
2018-12-31-06,646.0,3199.9,-0.2,-0.2,100,8.6,250,11.9,250,0.0,0.0,0.0,0.00,-999,0,-999
2018-12-31-07,646.7,3208.8,0.1,0.1,100,2.3,250,13.1,250,0.0,0.0,0.0,0.00,-999,0,-999
2018-12-31-08,647.0,3213.2,0.6,0.6,100,6.4,250,11.6,250,0.0,0.0,0.0,0.13,20.0,0,8.0
2018-12-31-09,647.3,3214.6,2.6,2.6,100,2.4,250,10.2,260,0.0,0.0,0.0,0.93,15.0,2,8.0
2018-12-31-10,647.1,3213.3,2.6,2.6,100,1.8,230,8.9,240,0.0,0.0,0.0,0.82,-999,2,-999
2018-12-31-11,646.5,3204.5,4.0,4.0,100,2.4,250,7.4,260,0.0,0.0,0.0,1.09,0.1,4,/
2018-12-31-12,645.7,3193.2,4.8,4.8,100,2.5,250,7.2,250,0.0,0.0,0.0,1.62,-999,6,-999
2018-12-31-13,645.4,3190.1,4.9,4.9,100,2.8,240,8.7,250,0.0,0.0,0.0,1.93,-999,8,-999
2018-12-31-14,645.1,3186.9,4.3,4.3,100,0.8,210,8.4,260,0.0,0.0,0.0,1.51,0.1,6,/
2018-12-31-15,645.2,3190.7,2.2,2.2,100,4.3,250,8.9,260,0.0,0.0,0.0,1.04,-999,3,-999
2018-12-31-16,645.6,3195.1,2.4,2.1,98,5.2,260,9.2,280,0.0,0.0,0.0,0.75,-999,2,-999
2018-12-31-17,646.3,3205.2,1.9,-0.2,86,4.8,260,9.2,260,0.0,0.0,0.2,0.41,40.0,0,5.0
2018-12-31-18,646.4,3207.3,1.1,-1.6,82,4.8,260,10.1,280,0.0,0.0,0.3,0.00,-999,0,-999
2018-12-31-19,646.6,3209.4,1.1,-1.9,80,7.3,270,10.9,270,0.0,0.0,0.0,0.00,-999,0,-999
2018-12-31-20,646.6,3209.0,1.0,-3.0,75,4.7,250,10.1,240,0.0,0.0,-999,0.00,40.0,0,4.0
2018-12-31-21,646.9,3211.1,0.4,-3.6,74,4.2,250,10.1,270,0.0,0.0,-999,0.00,40.0,0,4.0
2018-12-31-22,647.0,3212.5,0.2,-5.0,68,6.2,260,9.8,250,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-23,646.9,3210.1,-0.2,-5.4,68,2.3,230,10.3,250,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-24,646.7,3206.0,0.4,-6.7,59,5.5,250,9.6,250,0.0,0.0,-999,0.00,-999,0,-999
