,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount
2020-01-03-01,986.2,1024.5,18.5,15.3,82,3.3,360,12.8,30,0.0,0.0,-999,0.00,-999,0,-999
2020-01-03-02,985.5,1023.8,18.4,14.3,77,4.9,20,13.4,20,0.0,0.0,-999,0.00,-999,0,-999
2020-01-03-03,984.9,1023.2,18.4,14.7,79,4.0,10,12.0,20,0.0,0.0,-999,0.00,-999,0,-999
2020-01-03-04,984.5,1022.7,18.6,14.7,78,4.6,10,11.7,40,0.0,0.0,-999,0.00,-999,0,-999
2020-01-03-05,984.8,1023.0,18.6,15.1,80,4.3,10,13.9,30,0.0,0.0,-999,0.00,15.0,0,6.0
2020-01-03-06,985.1,1023.3,18.6,14.9,79,4.0,10,12.4,40,0.0,0.0,0.0,0.00,-999,0,-999
2020-01-03-07,985.4,1023.6,19.0,14.4,75,4.6,10,13.2,40,0.0,0.0,0.0,0.00,-999,0,-999
2020-01-03-08,985.7,1023.9,19.2,14.7,75,3.0,350,13.0,30,0.0,0.0,0.3,0.22,20.0,0,6.0
2020-01-03-09,986.3,1024.4,20.1,14.7,71,4.0,360,15.1,30,0.0,0.0,0.2,0.75,20.0,1,5.0
2020-01-03-10,986.6,1024.6,20.8,14.0,65,3.4,10,12.9,40,0.0,0.0,0.5,1.28,-999,3,-999
2020-01-03-11,985.9,1023.9,20.4,15.0,71,2.9,340,12.9,20,0.0,0.0,0.2,1.24,20.0,4,8.0
2020-01-03-12,985.2,1023.1,21.0,14.4,66,3.5,350,11.8,30,0.0,0.0,0.2,1.50,-999,5,-999
2020-01-03-13,984.4,1022.4,20.5,14.9,70,3.5,10,13.2,20,0.0,0.0,0.2,1.55,-999,5,-999
2020-01-03-14,983.8,1021.8,19.8,15.6,77,3.1,350,12.5,30,0.0,0.0,0.0,0.77,20.0,2,9.0
2020-01-03-15,983.6,1021.6,20.0,15.3,74,4.2,10,12.0,30,0.0,0.0,0.0,0.70,-999,2,-999
2020-01-03-16,983.6,1021.6,20.0,15.5,75,3.5,360,11.7,30,0.0,0.0,0.1,0.62,-999,1,-999
2020-01-03-17,983.6,1021.7,19.5,16.2,81,4.0,10,12.5,30,0.0,0.0,0.2,0.12,20.0,0,7.0
2020-01-03-18,984.2,1022.3,19.5,16.3,82,3.7,10,13.0,30,0.0,0.0,0.0,0.00,-999,0,-999
2020-01-03-19,984.5,1022.6,19.3,16.3,83,4.3,20,11.3,50,0.0,0.0,0.0,0.00,-999,0,-999
2020-01-03-20,985.0,1023.1,19.5,16.3,82,4.1,20,12.1,40,0.0,0.0,-999,0.00,20.0,0,7.0
2020-01-03-21,985.2,1023.4,19.3,16.2,82,4.1,20,11.1,40,0.0,0.0,-999,0.00,20.0,0,6.0
2020-01-03-22,985.2,1023.4,19.3,16.2,82,4.8,10,11.4,40,0.0,0.0,-999,0.00,-999,0,-999
2020-01-03-23,984.5,1022.7,19.1,16.1,83,3.7,360,12.2,30,0.0,0.0,-999,0.00,-999,0,-999
2020-01-03-24,984.3,1022.4,19.1,15.9,82,3.9,10,12.1,10,0.0,0.0,-999,0.00,-999,0,-999
2020-01-04-01,983.7,1021.8,19.1,15.5,80,3.8,10,10.4,30,0.0,0.0,-999,0.00,-999,0,-999
2020-01-04-02,983.1,1021.2,19.1,16.2,83,4.2,20,12.2,30,0.0,0.0,-999,0.00,-999,0,-999
2020-01-04-03,982.3,1020.4,19.1,15.7,81,4.7,10,11.9,30,0.0,0.0,-999,0.00,-999,0,-999
2020-01-04-04,982.3,1020.4,18.9,15.2,79,4.1,350,11.8,30,0.0,0.0,-999,0.00,-999,0,-999
2020-01-04-05,982.7,1020.8,19.0,15.2,79,3.7,10,11.5,40,0.0,0.0,-999,0.00,20.0,0,6.0
2020-01-04-06,983.0,1021.1,19.1,15.4,79,3.7,360,13.4,30,0.0,0.0,0.0,0.00,-999,0,-999
2020-01-04-07,983.6,1021.7,19.2,15.8,81,4.3,10,13.4,30,0.0,0.0,0.0,0.00,-999,0,-999
2020-01-04-08,984.5,1022.5,20.0,14.6,71,4.5,10,12.9,30,0.0,0.0,0.7,0.49,30.0,0,4.0
2020-01-04-09,985.0,1023.0,20.3,14.2,68,4.6,10,11.6,40,0.0,0.0,0.5,0.92,30.0,1,4.0
2020-01-04-10,984.9,1022.7,21.7,13.5,60,3.5,10,11.5,30,0.0,0.0,0.6,1.49,-999,3,-999
2020-01-04-11,984.3,1022.0,22.2,14.1,60,3.6,360,12.4,30,0.0,0.0,0.8,2.12,30.0,5,4.0
2020-01-04-12,983.3,1021.1,21.8,13.5,59,3.8,10,11.1,20,0.0,0.0,0.9,2.31,-999,6,-999
2020-01-04-13,982.5,1020.3,21.2,13.9,63,4.5,10,12.3,360,0.0,0.0,0.8,2.24,-999,6,-999
2020-01-04-14,982.1,1019.9,21.4,13.4,60,4.3,10,11.2,40,0.0,0.0,0.8,2.11,40.0,5,4.0
2020-01-04-15,981.6,1019.4,21.3,13.9,63,3.9,20,10.9,40,0.0,0.0,0.9,1.76,-999,3,-999
2020-01-04-16,981.6,1019.4,20.7,14.0,65,3.9,10,11.4,10,0.0,0.0,0.9,1.26,-999,1,-999
2020-01-04-17,982.1,1020.1,19.7,14.7,73,4.6,10,12.8,40,0.0,0.0,1.0,0.54,40.0,0,2.0
2020-01-04-18,982.6,1020.7,19.2,16.1,82,4.5,20,12.1,20,0.0,0.0,0.0,0.00,-999,0,-999
2020-01-04-19,983.2,1021.3,19.2,16.3,83,4.0,360,13.2,30,0.0,0.0,0.0,0.00,-999,0,-999
2020-01-04-20,983.7,1021.8,19.5,16.3,82,4.3,10,13.3,40,0.0,0.0,-999,0.00,15.0,0,3.0
2020-01-04-21,984.0,1022.1,19.7,15.8,78,5.3,20,15.1,60,0.0,0.0,-999,0.00,15.0,0,4.0
2020-01-04-22,984.3,1022.4,19.5,16.2,81,4.4,10,15.3,40,0.0,0.0,-999,0.00,-999,0,-999
2020-01-04-23,984.1,1022.2,19.6,16.3,81,5.6,20,15.1,30,0.0,0.0,-999,0.00,-999,0,-999
2020-01-04-24,984.0,1022.1,19.6,16.0,80,4.8,10,14.6,30,0.0,0.0,-999,0.00,-999,0,-999
2020-01-05-01,983.8,1021.8,19.7,16.1,80,5.3,30,13.7,60,0.0,0.0,-999,0.00,-999,0,-999
2020-01-05-02,983.5,1021.6,19.5,16.2,81,4.8,20,12.9,20,0.0,0.0,-999,0.00,-999,0,-999
2020-01-05-03,983.2,1021.2,19.6,16.4,82,5.1,20,14.7,40,0.0,0.0,-999,0.00,-999,0,-999
2020-01-05-04,983.2,1021.3,19.5,16.5,83,4.6,20,13.0,40,0.0,0.0,-999,0.00,-999,0,-999
2020-01-05-05,983.4,1021.4,19.7,16.4,81,4.8,20,15.3,60,0.0,0.0,-999,0.00,15.0,0,6.0
2020-01-05-06,984.0,1022.1,19.6,16.6,83,3.9,20,14.9,40,0.0,0.0,0.0,0.00,-999,0,-999
2020-01-05-07,984.7,1022.9,18.8,18.5,98,5.5,30,17.6,60,0.0,0.0,0.0,0.00,-999,0,-999
2020-01-05-08,985.6,1023.8,18.8,18.2,96,5.3,30,15.6,40,1.8,0.3,0.0,0.00,20.0,0,10.0
2020-01-05-09,985.9,1024.0,19.6,17.2,86,6.3,30,15.4,60,0.0,0.0,0.0,0.00,20.0,0,9.0
2020-01-05-10,985.8,1023.8,21.0,16.2,74,7.2,40,15.1,60,0.0,0.0,0.0,0.70,-999,2,-999
2020-01-05-11,984.9,1022.7,21.9,15.8,68,5.5,30,14.7,50,0.0,0.0,0.8,2.25,30.0,5,4.0
2020-01-05-12,984.0,1021.8,21.5,15.3,68,5.0,30,13.3,40,0.0,0.0,0.7,2.26,-999,6,-999
