,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount
2020-01-01-01,645.5,3188.1,-1.1,-17.7,27,5.8,240,14.5,270,0.0,0.0,-999,0.00,-999,0,-999
2020-01-01-02,645.2,3184.9,-0.6,-22.6,17,5.6,260,11.7,270,0.0,0.0,-999,0.00,-999,0,-999
2020-01-01-03,645.2,3188.1,0.5,-25.9,12,5.0,270,13.5,280,0.0,0.0,-999,0.00,-999,0,-999
2020-01-01-04,645.2,3189.9,-0.9,-27.9,11,5.0,250,11.9,240,0.0,0.0,-999,0.00,-999,0,-999
2020-01-01-05,645.4,3194.4,-0.8,-28.3,10,5.3,260,10.5,270,0.0,0.0,-999,0.00,20.0,0,0.0
2020-01-01-06,645.9,3201.9,-0.5,-28.5,10,5.3,250,10.9,270,0.0,0.0,0.0,0.00,-999,0,-999
2020-01-01-07,646.1,3203.5,0.4,-26.9,11,4.2,250,13.4,270,0.0,0.0,0.4,0.00,-999,0,-999
2020-01-01-08,646.9,3210.1,3.3,-21.2,15,1.9,240,10.5,260,0.0,0.0,1.0,0.57,40.0,0,0.0
2020-01-01-09,647.3,3215.8,3.9,-20.9,14,4.8,250,12.9,260,0.0,0.0,1.0,1.48,40.0,2,2.0
2020-01-01-10,647.6,3215.3,7.5,-16.4,16,1.6,230,11.9,260,0.0,0.0,1.0,2.22,-999,4,-999
2020-01-01-11,647.3,3210.7,8.7,-13.7,19,1.2,220,8.2,260,0.0,0.0,1.0,2.84,40.0,7,2.0
2020-01-01-12,646.7,3203.0,9.5,-11.7,21,1.1,210,8.0,240,0.0,0.0,1.0,3.00,-999,9,-999
2020-01-01-13,646.0,3193.9,9.2,-10.5,24,1.7,220,8.3,240,0.0,0.0,1.0,3.00,-999,9,-999
2020-01-01-14,645.7,3192.0,7.1,-7.1,36,4.7,240,10.3,250,0.0,0.0,1.0,2.88,40.0,8,2.0
2020-01-01-15,645.5,3189.5,6.0,-9.8,31,3.0,230,11.1,270,0.0,0.0,1.0,2.24,-999,5,-999
2020-01-01-16,645.5,3194.6,3.1,-13.7,28,1.8,220,10.6,240,0.0,0.0,1.0,1.49,-999,2,-999
2020-01-01-17,645.7,3198.6,1.7,-15.9,26,5.1,260,11.1,260,0.0,0.0,1.0,0.58,40.0,0,1.0
2020-01-01-18,645.8,3201.7,-0.2,-19.0,23,8.8,250,12.6,250,0.0,0.0,0.4,0.00,-999,0,-999
2020-01-01-19,646.4,3208.0,-0.1,-24.3,14,5.7,250,13.3,240,0.0,0.0,0.0,0.00,-999,0,-999
2020-01-01-20,646.5,3207.8,-1.8,-23.9,17,7.3,250,15.0,260,0.0,0.0,-999,0.00,30.0,0,1.0
2020-01-01-21,647.0,3212.3,-0.9,-17.5,27,5.3,260,11.7,260,0.0,0.0,-999,0.00,30.0,0,1.0
2020-01-01-22,647.1,3208.8,-0.4,-14.6,33,4.8,280,14.6,270,0.0,0.0,-999,0.00,-999,0,-999
2020-01-01-23,646.8,3204.4,-1.0,-15.2,33,4.1,300,14.3,290,0.0,0.0,-999,0.00,-999,0,-999
2020-01-01-24,646.7,3202.1,-0.9,-15.2,33,5.1,260,13.5,240,0.0,0.0,-999,0.00,-999,0,-999
2020-01-02-01,646.4,3197.5,0.1,-15.4,30,7.5,280,16.1,300,0.0,0.0,-999,0.00,-999,0,-999
2020-01-02-02,646.0,3196.3,-1.1,-11.5,45,4.1,250,12.6,290,0.0,0.0,-999,0.00,-999,0,-999
2020-01-02-03,645.6,3193.0,-1.4,-11.8,45,6.3,260,19.5,260,0.0,0.0,-999,0.00,-999,0,-999
2020-01-02-04,645.6,3196.1,-1.1,-12.0,43,6.7,260,14.3,290,0.0,0.0,-999,0.00,-999,0,-999
2020-01-02-05,645.8,3199.5,-0.5,-15.2,32,7.0,280,15.0,270,0.0,0.0,-999,0.00,30.0,0,1.0
2020-01-02-06,646.0,3202.6,0.9,-22.6,15,4.8,270,17.1,310,0.0,0.0,0.0,0.00,-999,0,-999
2020-01-02-07,646.6,3208.6,2.0,-25.6,11,2.3,290,14.9,300,0.0,0.0,0.4,0.00,-999,0,-999
2020-01-02-08,647.1,3213.0,5.3,-21.3,13,2.4,280,8.7,320,0.0,0.0,1.0,0.58,40.0,0,0.0
2020-01-02-09,647.2,3214.1,4.5,-19.6,15,5.0,290,12.5,290,0.0,0.0,1.0,1.47,40.0,2,6.0
2020-01-02-10,647.4,3209.2,10.5,-15.7,14,2.2,250,12.4,310,0.0,0.0,1.0,2.19,-999,4,-999
2020-01-02-11,647.0,3205.5,9.9,-11.3,21,2.2,270,7.4,310,0.0,0.0,1.0,2.84,40.0,7,4.0
2020-01-02-12,646.3,3195.3,11.0,-9.4,23,3.3,270,9.9,270,0.0,0.0,1.0,3.00,-999,9,-999
2020-01-02-13,645.9,3189.9,10.3,-9.1,25,2.4,280,10.5,280,0.0,0.0,1.0,3.00,-999,9,-999
2020-01-02-14,645.5,3186.6,10.0,-11.2,21,1.8,250,8.7,310,0.0,0.0,1.0,2.86,40.0,7,1.0
2020-01-02-15,645.2,3191.5,3.1,-10.7,35,5.7,300,8.6,310,0.0,0.0,1.0,2.22,-999,5,-999
